clusters, sil
2,0.39033953141994104
3,0.239949370474208
4,0.19707053134834007
5,0.19173063639831878
6,0.17974935282286364
7,0.18987649859968875
8,0.18884456336730562
9,0.1738375807706284
10,0.17761169136908755
11,0.1693150812537511
12,0.16174893564067902
13,0.15789464254107488
14,0.157295757521657
15,0.15005724819560712
16,0.15061215313521553
17,0.15552815354061067
18,0.1523492895370131
19,0.14606689031651876
20,0.14796029562039328
21,0.14553326691002666
22,0.14170513300410234
23,0.14413619093812224
24,0.14349954109219545
25,0.13320771085525998
26,0.13404614821064859
27,0.1331988359056155
28,0.1321765164428387
29,0.13334959895443274
30,0.12799725322573413
31,0.1278297314126122
32,0.13235946358610423
33,0.13293683857863342
34,0.133186992388392
35,0.13359902987753502
36,0.13338092842899424
37,0.1330368402333011
38,0.1335964004397719
39,0.13009193135654062
40,0.1321995956439052
41,0.13166679005220594
42,0.13418121276666678
43,0.13386866120878507
44,0.13018380081171554
45,0.13005370027591256
46,0.1304241702896202
47,0.1306052519112908
48,0.1301785763524876
49,0.1286643401283202
50,0.13113806360166533
51,0.12713260187680336
52,0.12793524137716936
53,0.127409106045362
54,0.1272725481155544
55,0.12783673696660355
56,0.12610874573444064
57,0.1265742557673786
58,0.1258902070400427
59,0.12769668713318616
60,0.12725600285114239
61,0.12556564534976652
62,0.12294755943967829
63,0.12640357817630898
64,0.12257363776591067
65,0.1252176577232433
66,0.12173689896614362
67,0.12164636047183831 
